Файлы ТИ,Названия ТИ,Папка модели,Выборка,"Ср. [абс. откл. / ср. за сутки], %","Мед. [абс. откл. / ср. за сутки], %","Макс. [абс. откл. / ср. за сутки], %",Ср. абс. откл.,Макс. абс. откл.,Ср. абс. % откл.,Макс. абс. % откл.,"Ср. [абс. откл. / ср. абс. за всё время], %","Мед. [абс. откл. / ср. абс. за всё время], %","Макс. [абс. откл. / ср. абс. за всё время], %"
ТИ_983,Р л2219 Жам.500-Карат.Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2219/P,Обучающая выборка,33.09187501985465,21.93105076572797,264.099084539606,7.373251652504854,72.77244825281632,52.91351984701831,3295.253693204463,25.34951341913595,19.09286035893807,250.19438376302307
ТИ_983,Р л2219 Жам.500-Карат.Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2219/P,Валидационная выборка,47.56027652045063,32.29689181007826,425.4687040658363,11.56235819417543,75.55870400143101,74.16452118339471,3491.5024115650886,41.08877686416229,29.60516625867595,268.51051288343956
ТИ_983,Р л2219 Жам.500-Карат.Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2219/P,Тестовая выборка,47.56027652045063,32.29689181007826,425.4687040658363,11.56235819417543,75.55870400143101,74.16452118339471,3491.5024115650886,41.08877686416229,29.60516625867595,268.51051288343956
ТИ_984,Р л2229 Жам500-Карат.Шимк,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2229/P,Обучающая выборка,44.28365229474489,24.571161368539347,416.192739339735,9.425980427875508,76.06401316520035,74.71294650035391,3193.9545556129046,30.8044568752041,22.82553065420792,248.5800422811272
ТИ_984,Р л2229 Жам500-Карат.Шимк,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2229/P,Валидационная выборка,49.74494002254044,33.682494225877235,369.63775505978066,12.541098221331259,72.58968459478761,82.56438180711594,3473.631939639942,42.18347363664016,31.40951944636314,244.16402713343888
ТИ_984,Р л2229 Жам500-Карат.Шимк,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2229/P,Тестовая выборка,49.74494002254044,33.682494225877235,369.63775505978066,12.541098221331259,72.58968459478761,82.56438180711594,3473.631939639942,42.18347363664016,31.40951944636314,244.16402713343888
ТИ_981,Р л2309 Шимк500-ГНПС  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2309/P,Обучающая выборка,17.386365156083233,12.222084670150084,280.5954914779817,7.650291002801477,50.03744485729328,30.881904484153722,4284.81480189891,15.865160282231084,12.007820037434557,103.76756681328266
ТИ_981,Р л2309 Шимк500-ГНПС  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2309/P,Валидационная выборка,19.872156036906745,13.781631313744263,156.09261629708445,10.449175311643094,68.18423132901873,34.26130701057655,4147.321501694639,18.76608000861201,13.395671386260094,122.45471075792204
ТИ_981,Р л2309 Шимк500-ГНПС  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2309/P,Тестовая выборка,19.872156036906745,13.781631313744263,156.09261629708445,10.449175311643094,68.18423132901873,34.26130701057655,4147.321501694639,18.76608000861201,13.395671386260094,122.45471075792204
ТИ_937,Р Л2359 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2359/P,Обучающая выборка,14.585651114762143,7.215826181781658,158.99044611408473,3.5373297437489963,30.438803132111524,24.01858259497312,1031.822423208839,10.201369035452007,6.209105287944279,87.78301324519548
ТИ_937,Р Л2359 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2359/P,Валидационная выборка,49.95819413677786,11.061404880514079,1259.1991788235,8.283400741426812,69.34991971160875,131.80955316641584,3159.7728465763275,23.416630529244504,7.448696215093175,196.0476738735918
ТИ_937,Р Л2359 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2359/P,Тестовая выборка,49.95819413677786,11.061404880514079,1259.1991788235,8.283400741426812,69.34991971160875,131.80955316641584,3159.7728465763275,23.416630529244504,7.448696215093175,196.0476738735918
ТИ_938,Р л2369 Шимк.500-ГПП2  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2369/P,Обучающая выборка,14.143265124561866,6.837434408075641,274.3303651125568,2.2449517804023955,62.29585353234101,15.63937418439441,450.43140915396157,8.676730433572517,3.934189070157272,240.77324642249243
ТИ_938,Р л2369 Шимк.500-ГПП2  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2369/P,Валидационная выборка,7.266003294224359,4.250185810208248,151.0213420027903,4.4760996890727425,99.92578802496486,10.097805765785871,8123.002469348995,7.203463751318297,4.165558711420807,160.81227896174596
ТИ_938,Р л2369 Шимк.500-ГПП2  Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2369/P,Тестовая выборка,7.266003294224359,4.250185810208248,151.0213420027903,4.4760996890727425,99.92578802496486,10.097805765785871,8123.002469348995,7.203463751318297,4.165558711420807,160.81227896174596
ТИ_977,Р л2379 Шимк500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2379/P,Обучающая выборка,27.358373842304466,19.431512229717583,325.33269207372354,8.479635283367022,68.31986546354362,43.48097148168801,3528.196275147137,24.444268581650924,18.546024750134197,196.94586913766366
ТИ_977,Р л2379 Шимк500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2379/P,Валидационная выборка,36.67524210486568,24.750438895571158,382.14456400897564,7.330934523298566,52.36253154558925,59.870099639650874,2276.168998809673,31.68657306518405,24.269100407238586,226.32710419445453
ТИ_977,Р л2379 Шимк500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2379/P,Тестовая выборка,36.67524210486568,24.750438895571158,382.14456400897564,7.330934523298566,52.36253154558925,59.870099639650874,2276.168998809673,31.68657306518405,24.269100407238586,226.32710419445453
ТИ_939,Р Л2389 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2389/P,Обучающая выборка,20.06928512664837,12.55599400500828,227.1962926269874,2.0505047042341085,28.87286205638535,31.085156733845754,622.8978144719175,19.264598837960246,9.236235267086112,271.2620476663501
ТИ_939,Р Л2389 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2389/P,Валидационная выборка,60.7320939505123,20.03815641260778,1445.1907918254508,7.071037246428098,51.04884423034871,160.9157199742923,4754.627716317249,38.29049540159051,18.118672145043057,276.43547433526504
ТИ_939,Р Л2389 Шимк.500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2389/P,Тестовая выборка,60.7320939505123,20.03815641260778,1445.1907918254508,7.071037246428098,51.04884423034871,160.9157199742923,4754.627716317249,38.29049540159051,18.118672145043057,276.43547433526504
ТИ_980,Р л2399 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2399/P,Обучающая выборка,7.5704085115249615,5.412663090943595,81.8742192810198,4.775551915450432,57.311953512079434,7.808221539813796,249.18239158733994,7.375814315752188,5.34648237936879,88.5180047588799
ТИ_980,Р л2399 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2399/P,Валидационная выборка,10.768380553340469,8.220440310452283,77.8743333311813,6.1024299587112685,45.96180295552699,11.292094850460325,97.66580014993306,10.60708935674359,8.197341382337445,79.88964301841372
ТИ_980,Р л2399 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2399/P,Тестовая выборка,10.768380553340469,8.220440310452283,77.8743333311813,6.1024299587112685,45.96180295552699,11.292094850460325,97.66580014993306,10.60708935674359,8.197341382337445,79.88964301841372
ТИ_979,Р л2409 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2409/P,Обучающая выборка,7.934829630087803,5.776366596572906,96.42973891743085,4.953057170373606,69.59012852470782,8.192077614455803,289.9588479097416,7.7411430224883215,5.674985960407771,108.76255196191751
ТИ_979,Р л2409 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2409/P,Валидационная выборка,9.87289381883712,6.867857110155194,96.35997443705084,5.352948973988889,46.453537827558506,10.389915955865538,154.84512625525758,9.7145532476348,6.7400677440668275,84.30406659201815
ТИ_979,Р л2409 Шимк500-ШТЭЦ3 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2409/P,Тестовая выборка,9.87289381883712,6.867857110155194,96.35997443705084,5.352948973988889,46.453537827558506,10.389915955865538,154.84512625525758,9.7145532476348,6.7400677440668275,84.30406659201815
ТИ_978,Р л2479 Шимк500-Бадам Юг ,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2479/P,Обучающая выборка,31.791383847659958,21.013903512157807,310.5678877418052,5.556848580205464,62.41778559817941,43.17512869164499,2186.021369583465,27.25150106422595,19.9308687743304,306.1048589149283
ТИ_978,Р л2479 Шимк500-Бадам Юг ,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2479/P,Валидационная выборка,29.208711336757936,22.825885467655098,215.63724368607873,5.326259285835185,42.318808745167345,50.62726713261366,2115.9406594366606,26.333597641730034,21.485197361289515,209.22873303150098
ТИ_978,Р л2479 Шимк500-Бадам Юг ,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2479/P,Тестовая выборка,29.208711336757936,22.825885467655098,215.63724368607873,5.326259285835185,42.318808745167345,50.62726713261366,2115.9406594366606,26.333597641730034,21.485197361289515,209.22873303150098
ТИ_1469,Р л2499 Шимк500-КызылСай,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2499/P,Обучающая выборка,22.581204274886048,18.18813334752642,179.25535611782368,7.224036415014707,35.419792328152866,29.608318651332645,3144.6280425383043,20.887539395857406,17.181453963828435,102.4125938941401
ТИ_1469,Р л2499 Шимк500-КызылСай,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2499/P,Валидационная выборка,32.14975520490866,24.025140962460945,315.8311778051976,6.928519814411954,52.33490640634902,53.41708244634761,3680.337231600273,29.281089865075398,23.4553185706797,221.1761153337594
ТИ_1469,Р л2499 Шимк500-КызылСай,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/SHYMKENT/220/L2499/P,Тестовая выборка,32.14975520490866,24.025140962460945,315.8311778051976,6.928519814411954,52.33490640634902,53.41708244634761,3680.337231600273,29.281089865075398,23.4553185706797,221.1761153337594
ТИ_3339,Р л2799 Жам500-Бурное Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2799/P,Обучающая выборка,33.02835392842668,23.47439437956166,322.6377401574443,7.512396661224781,65.07843552232329,49.75800924104198,2355.288021366098,29.048280649654977,22.97973020703899,251.6396224190749
ТИ_3339,Р л2799 Жам500-Бурное Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2799/P,Валидационная выборка,44.84781627325621,34.03156390435647,428.9611694930076,7.358252974647191,50.40293798328835,86.95523773059395,3044.5483845753342,39.921039323423365,33.08839525151691,273.4531791961666
